sl_no,hsc_p,hsc_s,degree_p,degree_t,etest_p,specialisation,mba_p,salary,gender_F,gender_M
23,60.8,Science,72.23,Sci&Tech,55.53,Mkt&HR,68.81,360000.0,1,0
24,60.0,Science,64.74,Sci&Tech,92.0,Mkt&Fin,63.62,300000.0,1,0
25,97.7,Science,78.86,Sci&Tech,97.4,Mkt&Fin,74.01,360000.0,0,1
26,54.6,Commerce,50.2,Comm&Mgmt,76.0,Mkt&Fin,65.33,,1,0
27,79.0,Commerce,66.0,Comm&Mgmt,94.0,Mkt&Fin,57.55,240000.0,0,1
28,67.0,Commerce,66.0,Comm&Mgmt,68.0,Mkt&HR,57.69,265000.0,0,1
29,76.5,Commerce,67.5,Comm&Mgmt,73.35,Mkt&Fin,64.15,350000.0,0,1
30,67.0,Commerce,58.0,Comm&Mgmt,77.0,Mkt&Fin,51.29,,0,1
31,73.5,Commerce,73.0,Comm&Mgmt,52.0,Mkt&HR,56.7,250000.0,1,0
32,53.0,Science,65.0,Sci&Tech,64.0,Mkt&HR,58.32,,1,0
33,81.0,Commerce,66.4,Comm&Mgmt,50.89,Mkt&HR,62.21,278000.0,1,0
34,65.0,Science,81.0,Comm&Mgmt,88.0,Mkt&Fin,72.78,260000.0,1,0
35,51.0,Science,52.0,Others,68.44,Mkt&HR,62.77,,0,1
36,78.0,Commerce,72.0,Comm&Mgmt,71.0,Mkt&HR,62.74,300000.0,1,0
37,44.0,Commerce,57.0,Comm&Mgmt,64.0,Mkt&Fin,51.45,,0,1
38,76.0,Science,65.6,Sci&Tech,58.0,Mkt&HR,55.47,320000.0,1,0
39,58.0,Science,66.0,Comm&Mgmt,53.7,Mkt&HR,56.86,240000.0,1,0
40,68.0,Science,64.0,Sci&Tech,93.0,Mkt&Fin,62.56,411000.0,0,1
41,77.0,Commerce,80.0,Comm&Mgmt,60.0,Mkt&Fin,66.72,287000.0,1,0
42,63.16,Commerce,65.0,Comm&Mgmt,65.0,Mkt&HR,69.76,,1,0
43,39.0,Science,65.0,Others,63.0,Mkt&Fin,51.21,,0,1
44,87.0,Commerce,68.0,Comm&Mgmt,95.0,Mkt&HR,62.9,300000.0,0,1
45,73.0,Commerce,81.0,Comm&Mgmt,89.0,Mkt&Fin,69.7,200000.0,1,0
46,64.0,Science,72.0,Sci&Tech,,Mkt&HR,66.53,,1,0
47,71.98,Science,65.6,Comm&Mgmt,68.0,Mkt&HR,71.63,,1,0
48,60.0,Commerce,57.0,Comm&Mgmt,78.0,Mkt&Fin,54.55,204000.0,0,1
49,62.0,Commerce,68.0,Comm&Mgmt,64.0,Mkt&Fin,62.46,250000.0,0,1
50,37.0,Arts,52.0,Others,65.0,Mkt&HR,56.11,,1,0
51,73.2,Science,68.4,Comm&Mgmt,65.0,Mkt&HR,62.98,200000.0,1,0
52,61.12,Commerce,56.2,Comm&Mgmt,67.0,Mkt&HR,62.65,,0,1
53,45.83,Commerce,53.0,Comm&Mgmt,,Mkt&HR,65.49,,1,0
54,70.0,Science,72.0,Sci&Tech,87.0,Mkt&HR,71.04,450000.0,0,1
55,60.0,Science,69.0,Comm&Mgmt,,Mkt&HR,65.56,216000.0,1,0
56,66.6,Science,65.0,Comm&Mgmt,71.0,Mkt&HR,52.71,220000.0,0,1
57,71.4,Commerce,61.4,Comm&Mgmt,68.0,Mkt&Fin,66.88,240000.0,0,1
58,76.0,Commerce,74.0,Comm&Mgmt,80.0,Mkt&Fin,63.59,360000.0,0,1
59,62.0,Science,68.0,Comm&Mgmt,74.0,Mkt&Fin,57.99,268000.0,0,1
60,65.58,Science,72.11,Sci&Tech,57.6,Mkt&Fin,56.66,265000.0,0,1
61,70.0,Science,72.0,Comm&Mgmt,60.0,Mkt&Fin,57.24,260000.0,0,1
62,73.4,Commerce,66.89,Comm&Mgmt,61.6,Mkt&Fin,62.48,300000.0,0,1
63,64.2,Science,67.4,Sci&Tech,59.0,Mkt&Fin,59.69,240000.0,1,0
64,70.0,Commerce,64.0,Comm&Mgmt,68.5,Mkt&HR,59.5,,0,1
65,73.0,Commerce,75.0,Comm&Mgmt,61.0,Mkt&Fin,58.78,240000.0,0,1
66,47.0,Science,57.0,Comm&Mgmt,89.69,Mkt&HR,57.1,,0,1
67,74.0,Science,66.0,Comm&Mgmt,68.92,Mkt&HR,58.46,275000.0,0,1
68,78.5,Commerce,67.0,Comm&Mgmt,68.71,Mkt&Fin,60.99,275000.0,0,1
69,47.0,Commerce,72.7,Sci&Tech,79.0,Mkt&HR,59.24,,1,0
70,73.0,Science,66.0,Sci&Tech,70.0,Mkt&Fin,68.07,275000.0,0,1
71,61.0,Science,62.0,Sci&Tech,89.0,Mkt&Fin,65.45,360000.0,0,1
72,70.29,Commerce,71.0,Comm&Mgmt,95.0,Mkt&Fin,66.94,240000.0,0,1
73,67.0,Science,78.0,Comm&Mgmt,95.5,Mkt&Fin,68.53,240000.0,0,1
74,83.83,Commerce,71.72,Comm&Mgmt,86.0,Mkt&Fin,59.75,218000.0,0,1
75,64.8,Commerce,70.2,Comm&Mgmt,84.27,Mkt&Fin,67.2,336000.0,0,1
76,62.0,Commerce,77.5,Comm&Mgmt,74.0,Mkt&HR,67.0,,1,0
77,70.4,Arts,71.93,Comm&Mgmt,61.0,Mkt&Fin,64.27,230000.0,1,0
78,80.0,Science,65.0,Sci&Tech,69.0,Mkt&Fin,57.65,500000.0,0,1
79,90.9,Science,64.5,Sci&Tech,86.04,Mkt&Fin,59.42,270000.0,0,1
80,62.0,Science,66.0,Sci&Tech,75.0,Mkt&HR,67.99,,1,0
81,62.0,Commerce,69.0,Comm&Mgmt,67.0,Mkt&HR,62.35,240000.0,1,0
82,63.0,Science,67.0,Comm&Mgmt,86.0,Mkt&Fin,70.2,300000.0,0,1
83,67.0,Commerce,74.0,Comm&Mgmt,82.0,Mkt&Fin,60.44,,0,1
84,79.0,Science,68.0,Sci&Tech,84.0,Mkt&Fin,66.69,300000.0,0,1
85,63.0,Science,70.0,Sci&Tech,55.0,Mkt&Fin,62.0,300000.0,0,1
86,89.83,Commerce,77.2,Comm&Mgmt,78.74,Mkt&Fin,76.18,400000.0,1,0
87,63.0,Commerce,64.0,Comm&Mgmt,67.0,Mkt&Fin,57.03,220000.0,0,1
88,51.0,Science,60.0,Others,75.0,Mkt&HR,59.08,,0,1
89,62.0,Commerce,73.0,Comm&Mgmt,58.0,Mkt&HR,64.36,210000.0,1,0
90,75.0,Science,69.0,Sci&Tech,62.0,Mkt&HR,62.36,210000.0,1,0
91,90.0,Commerce,82.0,Comm&Mgmt,92.0,Mkt&Fin,68.03,300000.0,1,0
92,57.0,Commerce,50.8,Comm&Mgmt,67.0,Mkt&HR,62.79,,0,1
93,69.0,Science,66.0,Comm&Mgmt,72.0,Mkt&Fin,59.47,230000.0,1,0
94,62.0,Commerce,54.0,Comm&Mgmt,72.0,Mkt&HR,55.41,,0,1
95,62.0,Commerce,64.0,Comm&Mgmt,53.88,Mkt&Fin,54.97,260000.0,0,1
96,78.0,Commerce,65.0,Comm&Mgmt,95.46,Mkt&Fin,62.16,420000.0,0,1
97,70.0,Science,76.0,Comm&Mgmt,66.0,Mkt&Fin,64.44,300000.0,1,0
98,62.5,Commerce,61.0,Comm&Mgmt,93.91,Mkt&Fin,69.03,,1,0
99,73.0,Commerce,65.0,Comm&Mgmt,70.0,Mkt&Fin,57.31,220000.0,1,0
100,82.0,Commerce,63.0,Sci&Tech,50.0,Mkt&Fin,59.47,,0,1
101,57.0,Commerce,58.0,Comm&Mgmt,56.39,Mkt&HR,64.95,,1,0
102,72.0,Commerce,68.0,Comm&Mgmt,78.0,Mkt&HR,60.44,380000.0,0,1
103,61.0,Commerce,68.0,Comm&Mgmt,57.5,Mkt&Fin,61.31,300000.0,1,0
104,78.0,Science,73.0,Sci&Tech,85.0,Mkt&HR,65.83,240000.0,0,1
105,63.0,Science,65.0,Comm&Mgmt,55.0,Mkt&HR,58.23,360000.0,0,1
106,64.0,Science,58.0,Sci&Tech,85.0,Mkt&HR,55.3,,0,1
107,50.0,Science,54.0,Sci&Tech,71.0,Mkt&Fin,65.69,,0,1
108,90.0,Commerce,83.0,Comm&Mgmt,80.0,Mkt&HR,73.52,200000.0,0,1
109,82.0,Commerce,69.0,Comm&Mgmt,84.0,Mkt&Fin,58.31,300000.0,0,1
110,63.0,Science,65.0,Sci&Tech,86.0,Mkt&HR,56.09,,0,1
111,70.0,Science,72.0,Sci&Tech,57.2,Mkt&HR,54.8,250000.0,1,0
112,,Science,61.0,Sci&Tech,60.0,Mkt&HR,60.64,,0,1
113,61.0,Commerce,61.0,Comm&Mgmt,58.0,Mkt&HR,53.94,250000.0,0,1
114,79.0,Commerce,67.0,Comm&Mgmt,72.15,Mkt&Fin,63.08,280000.0,1,0
115,68.0,Science,69.0,Comm&Mgmt,53.7,Mkt&HR,55.01,250000.0,0,1
116,63.0,Science,66.0,Comm&Mgmt,89.0,Mkt&Fin,60.5,216000.0,1,0
117,72.8,Commerce,66.6,Comm&Mgmt,96.0,Mkt&Fin,70.85,300000.0,0,1
118,75.0,Science,73.0,Sci&Tech,80.0,Mkt&Fin,67.05,240000.0,0,1
119,80.0,Science,78.0,Sci&Tech,97.0,Mkt&HR,70.48,276000.0,0,1
120,68.4,Commerce,64.6,Comm&Mgmt,,Mkt&Fin,64.34,940000.0,0,1
121,40.0,Science,59.0,Comm&Mgmt,73.0,Mkt&HR,58.81,,0,1
122,67.0,Science,69.6,Sci&Tech,55.67,Mkt&HR,71.49,250000.0,1,0
123,66.8,Arts,69.3,Comm&Mgmt,80.4,Mkt&Fin,71.0,236000.0,1,0
124,59.0,Commerce,73.0,Comm&Mgmt,60.0,Mkt&HR,56.7,240000.0,0,1
125,71.0,Science,64.33,Others,64.0,Mkt&HR,61.26,250000.0,0,1
126,73.0,Commerce,73.0,Comm&Mgmt,75.0,Mkt&Fin,73.33,350000.0,1,0
127,61.0,Science,75.5,Sci&Tech,70.0,Mkt&Fin,68.2,210000.0,1,0
128,60.0,Science,69.0,Comm&Mgmt,55.5,Mkt&HR,58.4,250000.0,1,0
129,73.4,Science,77.72,Sci&Tech,81.2,Mkt&HR,76.26,400000.0,0,1
130,89.7,Commerce,66.0,Comm&Mgmt,90.0,Mkt&Fin,68.55,250000.0,0,1
131,65.0,Commerce,60.0,Comm&Mgmt,84.0,Mkt&Fin,64.15,,0,1
132,57.0,Science,62.0,Others,80.0,Mkt&Fin,60.78,360000.0,1,0
133,68.0,Commerce,64.0,Comm&Mgmt,74.4,Mkt&HR,53.49,300000.0,0,1
134,64.0,Commerce,77.0,Comm&Mgmt,65.0,Mkt&HR,60.98,250000.0,0,1
135,92.0,Commerce,72.0,Comm&Mgmt,94.0,Mkt&Fin,67.13,250000.0,1,0
136,56.0,Science,69.0,Comm&Mgmt,55.6,Mkt&HR,65.63,200000.0,1,0
137,59.0,Arts,64.0,Comm&Mgmt,78.0,Mkt&Fin,61.58,,1,0
138,63.0,Commerce,72.0,Comm&Mgmt,56.0,Mkt&HR,60.41,225000.0,0,1
139,64.0,Science,73.0,Sci&Tech,96.0,Mkt&Fin,71.77,250000.0,1,0
140,70.0,Commerce,59.0,Comm&Mgmt,58.0,Mkt&Fin,54.43,220000.0,0,1
141,64.8,Commerce,69.5,Comm&Mgmt,56.0,Mkt&Fin,56.94,265000.0,0,1
142,64.0,Science,60.0,Comm&Mgmt,60.0,Mkt&HR,61.9,,0,1
143,60.0,Science,73.43,Sci&Tech,60.0,Mkt&Fin,61.29,260000.0,0,1
144,64.89,Commerce,70.67,Comm&Mgmt,89.0,Mkt&Fin,60.39,300000.0,0,1
145,50.0,Arts,61.0,Comm&Mgmt,60.0,Mkt&Fin,58.52,,0,1
146,65.66,Science,71.25,Sci&Tech,72.0,Mkt&HR,63.23,400000.0,0,1
147,63.0,Science,66.0,Comm&Mgmt,85.0,Mkt&HR,55.14,233000.0,0,1
148,74.0,Commerce,65.0,Comm&Mgmt,83.0,Mkt&Fin,62.28,300000.0,0,1
149,86.0,Arts,56.0,Others,57.0,Mkt&Fin,64.08,240000.0,1,0
150,58.0,Arts,55.0,Comm&Mgmt,64.25,Mkt&HR,58.54,,0,1
151,58.66,Science,58.0,Sci&Tech,56.0,Mkt&Fin,61.3,690000.0,0,1
152,65.0,Commerce,75.0,Comm&Mgmt,83.0,Mkt&Fin,58.87,270000.0,0,1
153,60.5,Science,84.0,Sci&Tech,98.0,Mkt&Fin,65.25,240000.0,1,0
154,59.0,Science,65.0,Sci&Tech,86.0,Mkt&Fin,62.48,340000.0,0,1
155,63.0,Science,60.0,Comm&Mgmt,70.0,Mkt&Fin,53.2,250000.0,0,1
156,74.66,Commerce,59.9,Comm&Mgmt,56.15,Mkt&HR,65.99,,0,1
157,69.4,Science,65.0,Sci&Tech,80.0,Mkt&HR,52.72,255000.0,0,1
158,62.5,Commerce,60.9,Comm&Mgmt,93.4,Mkt&Fin,55.03,300000.0,0,1
159,63.0,Science,64.0,Sci&Tech,60.0,Mkt&Fin,61.87,,0,1
160,49.0,Commerce,58.0,Comm&Mgmt,62.0,Mkt&HR,60.59,,0,1
161,74.0,Science,65.0,Sci&Tech,75.0,Mkt&HR,72.29,300000.0,0,1
162,51.0,Commerce,57.5,Comm&Mgmt,57.63,Mkt&HR,62.72,,0,1
163,87.6,Commerce,77.25,Comm&Mgmt,75.2,Mkt&Fin,66.06,285000.0,0,1
164,67.0,Science,64.0,Sci&Tech,75.0,Mkt&Fin,66.46,500000.0,0,1
165,72.5,Commerce,63.35,Comm&Mgmt,53.04,Mkt&Fin,65.52,250000.0,1,0
166,78.33,Commerce,74.0,Comm&Mgmt,80.0,Mkt&Fin,74.56,,1,0
167,62.0,Commerce,60.0,Comm&Mgmt,63.0,Mkt&HR,52.38,240000.0,0,1
168,62.0,Science,67.0,Sci&Tech,58.1,Mkt&Fin,75.71,,0,1
169,51.0,Commerce,58.0,Comm&Mgmt,60.0,Mkt&HR,58.79,,1,0
170,42.16,Science,61.26,Sci&Tech,54.48,Mkt&HR,65.48,,0,1
171,67.2,Commerce,60.0,Comm&Mgmt,58.06,Mkt&HR,69.28,,1,0
172,80.0,Commerce,72.0,Comm&Mgmt,63.79,Mkt&Fin,66.04,290000.0,0,1
173,58.0,Commerce,56.0,Comm&Mgmt,84.0,Mkt&HR,52.64,300000.0,0,1
174,52.0,Science,55.0,Sci&Tech,67.0,Mkt&HR,59.32,,1,0
175,50.83,Science,64.27,Sci&Tech,64.0,Mkt&Fin,66.23,500000.0,0,1
176,62.0,Science,65.0,Sci&Tech,87.5,Mkt&HR,60.69,,0,1
177,60.0,Commerce,56.0,Comm&Mgmt,55.0,Mkt&HR,57.9,220000.0,1,0
178,97.0,Commerce,79.0,Comm&Mgmt,89.0,Mkt&Fin,70.81,650000.0,1,0
179,56.0,Science,68.0,Sci&Tech,73.0,Mkt&HR,68.07,350000.0,0,1
180,64.0,Science,64.2,Sci&Tech,75.5,Mkt&HR,72.14,,1,0
181,71.5,Commerce,62.8,Comm&Mgmt,57.0,Mkt&Fin,56.6,265000.0,0,1
182,60.33,Science,64.21,Sci&Tech,63.0,Mkt&HR,60.02,,0,1
183,65.0,Arts,57.0,Others,75.0,Mkt&Fin,59.81,,0,1
184,77.0,Commerce,69.0,Comm&Mgmt,60.0,Mkt&HR,61.82,276000.0,0,1
185,62.83,Commerce,59.79,Comm&Mgmt,60.0,Mkt&HR,57.29,,1,0
186,72.0,Science,78.0,Others,82.0,Mkt&HR,71.43,252000.0,1,0
187,64.0,Commerce,61.0,Comm&Mgmt,55.0,Mkt&Fin,62.93,,1,0
188,65.5,Science,67.0,Sci&Tech,95.0,Mkt&Fin,64.86,280000.0,0,1
189,47.0,Commerce,54.38,Comm&Mgmt,57.0,Mkt&Fin,56.13,,0,1
190,77.6,Commerce,69.2,Comm&Mgmt,95.65,Mkt&Fin,66.94,,1,0
191,70.2,Commerce,61.0,Comm&Mgmt,50.0,Mkt&Fin,62.5,,1,0
192,61.0,Science,72.0,Comm&Mgmt,72.0,Mkt&Fin,61.01,264000.0,0,1
193,61.4,Commerce,64.8,Comm&Mgmt,93.4,Mkt&Fin,57.34,270000.0,0,1
194,63.0,Arts,56.0,Others,80.0,Mkt&HR,56.63,300000.0,1,0
195,55.0,Commerce,56.3,Comm&Mgmt,59.0,Mkt&Fin,64.74,,0,1
196,76.0,Commerce,72.0,Comm&Mgmt,84.0,Mkt&HR,58.95,275000.0,0,1
197,63.0,Science,77.5,Sci&Tech,78.0,Mkt&Fin,54.48,250000.0,0,1
198,53.0,Science,91.0,Sci&Tech,59.32,Mkt&HR,69.71,260000.0,1,0
199,70.0,Commerce,65.0,Others,88.0,Mkt&HR,71.96,,1,0
200,65.0,Commerce,57.0,Comm&Mgmt,73.0,Mkt&HR,55.8,265000.0,0,1
201,60.0,Commerce,65.0,Comm&Mgmt,87.55,Mkt&Fin,52.81,300000.0,0,1
202,63.0,Science,58.0,Comm&Mgmt,79.0,Mkt&HR,58.44,,0,1
203,63.0,Science,66.0,Sci&Tech,61.28,Mkt&HR,60.11,240000.0,0,1
204,61.33,Commerce,56.87,Comm&Mgmt,66.0,Mkt&HR,58.3,260000.0,0,1
205,73.0,Commerce,73.0,Comm&Mgmt,80.0,Mkt&Fin,67.69,210000.0,1,0
206,62.0,Commerce,65.0,Comm&Mgmt,62.0,Mkt&Fin,56.81,250000.0,0,1
207,42.0,Science,60.0,Comm&Mgmt,97.0,Mkt&Fin,53.39,,0,1
208,78.0,Commerce,61.0,Comm&Mgmt,88.56,Mkt&Fin,71.55,300000.0,0,1
209,60.0,Science,65.0,Comm&Mgmt,92.66,Mkt&HR,62.92,,1,0
210,72.0,Commerce,65.0,Comm&Mgmt,67.0,Mkt&Fin,56.49,216000.0,0,1
211,82.0,Commerce,77.6,Comm&Mgmt,91.0,Mkt&Fin,74.49,400000.0,0,1
212,60.0,Science,72.0,Sci&Tech,74.0,Mkt&Fin,53.62,275000.0,0,1
213,67.0,Commerce,73.0,Comm&Mgmt,59.0,Mkt&Fin,69.72,295000.0,0,1
214,66.0,Commerce,58.0,Comm&Mgmt,70.0,Mkt&HR,60.23,204000.0,1,0
215,58.0,Science,53.0,Comm&Mgmt,89.0,Mkt&HR,60.22,,0,1
